#TXnode RXnode MCS CHANNEL TXPOWER FPS SIZE Vmu Vsd Verr Imu Isd Ierr Pmu Perr loss status
192-168-0-110 node-2 24 44 15 600 1222 11.97243071453333333333 .00677975432748153345 .002 .41056129719666666666 .07539405426425708630 .00047169811320754716 4.91541668475602012351 .00570675598513880388 -12005 OK|591+/-3
192-168-0-110 node-2 24 44 15 600 147 11.97233197058000000000 .00704830548969386754 .002 .39147304365666666666 .06754852026156841860 .00047169811320754716 4.68684523619097040220 .00570134195234070747 -10865 OK|590+/-4
192-168-0-110 node-2 24 44 15 600 322 11.97235306526000000000 .00711046562080048383 .002 .39551047279666666666 .06970218018687511606 .00047169811320754716 4.73519102132960401129 .00570246630886719750 -10977 OK|590+/-4
192-168-0-110 node-2 24 44 15 600 1072 11.97241310273333333333 .00692627141944580309 .002 .40831962920333333333 .07508677345132674962 .00047169811320754716 4.88857127877720421678 .00570610439851612511 -11500 OK|590+/-3
192-168-0-110 node-2 24 44 15 600 97 11.97234218442000000000 .00711755198139523811 .002 .38996806422333333333 .06710583325277336767 .00047169811320754716 4.66883110587762145069 .00570093415698627675 -10893 OK|590+/-3
192-168-0-110 node-2 24 44 15 600 1297 11.97243443124000000000 .00678944837669032726 .002 .41191530986666666666 .07563428869192465949 .00047169811320754716 4.93162903860257369348 .00570714799619251244 -11408 OK|590+/-3
192-168-0-110 node-2 24 44 15 600 747 11.97238437234666666666 .00693264616514219554 .002 .40227437452666666666 .07309109494463957700 .00047169811320754716 4.81618343497859401367 .00570437317776699984 -11263 OK|591+/-4
192-168-0-110 node-2 24 44 15 600 647 11.97240727096000000000 .00582341198659038376 .002 .40691363517333333333 .05010679177841385785 .00047169811320754716 4.87173576440198079985 .00570569991187830171 -11171 OK|590+/-3
192-168-0-110 node-2 24 44 15 600 1447 11.97243968786000000000 .00679036830931193819 .002 .41400603855666666666 .07695626731791309016 .00047169811320754716 4.95666232702953339150 .00570775554539989037 -11708 OK|591+/-4
192-168-0-110 node-2 24 44 15 600 1397 11.97243609452666666666 .00690919562470374043 .002 .41371597977333333333 .07795657174103050729 .00047169811320754716 4.95318812912072035466 .00570766974076340632 -11806 OK|590+/-4
192-168-0-110 node-2 24 44 15 600 1272 11.97241674193666666666 .00690804629992462123 .002 .41033258389000000000 .07720393010060340011 .00047169811320754716 4.91267269712676775606 .00570668366344211863 -11601 OK|591+/-3
192-168-0-110 node-2 24 44 15 600 472 11.97235110230000000000 .00723783811617368864 .002 .39700583255000000000 .07245534204278289293 .00047169811320754716 4.75309321694952171986 .00570288102047547016 -11290 OK|590+/-3
